episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
186,40.0000,38.5333,28.9667,1.3809,16,15,0.9171,1.0916,0.9955,0.8139,0.7466,1.3097,1.3552,3
187,40.0333,39.1333,29.3333,1.3648,13,12,0.7602,1.0406,1.0920,0.7408,0.7120,3.2450,1.8522,3
188,40.0333,39.1333,28.0333,1.4281,19,18,0.8751,1.0263,1.0850,0.6859,0.6681,1.5233,1.6352,3
189,40.0333,38.9667,27.8000,1.4400,15,14,0.9604,1.1499,1.1007,0.6843,0.7147,1.9073,1.8858,3
190,40.0333,39.2333,30.7333,1.3026,19,18,0.7863,1.0353,1.0960,0.6844,0.6941,2.2099,1.9584,3
191,40.0333,39.8333,31.6333,1.2655,15,14,0.8145,1.6140,1.0623,0.8314,0.7039,6.0910,3.5038,3
192,40.0000,39.6333,31.1333,1.2848,11,10,0.9690,2.0846,1.4828,0.8419,0.7675,4.2463,3.3145,3
193,40.0333,40.0333,31.5333,1.2696,9,8,0.9355,1.1511,1.1438,0.8786,0.7582,2.7891,2.6204,3
194,40.0000,40.0000,31.8667,1.2552,9,8,0.8295,1.1063,1.4513,0.7976,0.7771,2.1550,2.0635,3
195,40.0000,39.1333,27.6000,1.4493,17,16,0.7452,1.0294,1.1104,0.6448,0.6837,5.0023,3.0122,3
196,40.0333,40.0333,28.1000,1.4247,15,14,0.9537,1.1736,1.1245,0.8197,0.6950,1.9866,1.7102,3
197,40.0000,39.2333,30.7667,1.3001,13,12,0.9881,1.1836,1.4438,0.8378,0.7393,1.7381,1.8571,3
198,40.0333,40.0333,30.9667,1.2928,17,16,0.9020,1.0975,1.2744,0.7742,0.7379,1.4652,1.4812,3
199,40.0000,40.0000,30.9333,1.2931,14,13,0.9569,1.0608,1.3325,0.8139,0.7487,2.2527,2.0681,3
200,40.0000,40.0000,30.2000,1.3245,17,16,0.8918,1.2503,1.3809,0.8787,0.7286,3.2624,2.8909,3
201,40.0333,40.0333,31.9000,1.2550,17,16,0.6907,1.1091,1.1027,0.7149,0.7435,5.7627,2.8973,3
